,lemma,count,translation
198,καταδικαζόμενοι,3,
199,δικαιωτὴν,3,
200,καταδικαζομένοις,3,
201,δικαστά,3,
202,δικαιοπραγούντων,3,
203,δικασθέντα,3,
204,δικαζομένου,3,
205,δικαστέον,3,
206,δικαιογένει,3,
207,ἀδικούμενός,3,
208,δικάζουσαν,3,
209,ἀδικουμέναις,3,
210,δικάσαντας,3,
211,δικασθείσας,3,
212,ἀδίκαστος,3,undecided
213,δικάσηται,3,
214,δικάσομεν,3,
215,δικασάτω,3,
216,δικαιωθείς,3,
217,δικηφόρος,3,"bringing justice, avenging"
218,δικότυλον,3,
219,δικολογεῖν,3,
220,δικαζομένῳ,3,
221,δικαιόσυνος,3,
222,δικαιαρχείτης,3,
223,δικατάληκτά,3,
224,δικαιοδότης,3,
225,δικάσαντι,3,
226,δικαστικῇ,3,
227,δικέφαλος,3,
228,δικαιώσουσιν,3,
229,δικαιολογησάμενος,3,
230,δικέταν,3,
231,καταδικαζόμενος,3,
232,δίκηνʼ,3,
233,δικαίης,3,
234,δικάσομαι,3,
235,δικαιοπραγοῦντα,3,
236,δικαιοσύ,3,
237,καταδικασθήσονται,3,
238,δικαιωτηρίου,3,
239,δικίνιος,3,
240,δικαιοπραγίᾳ,3,
241,καταδικαζόμενον,3,
242,ἐκδικίου,3,
243,δικαιουμένων,3,
244,δικασμὸς,3,
245,δικαιώσαντα,3,
246,δικαιολογίᾳ,3,
247,δικαιωθέντος,3,
248,δικάσατε,3,
249,δικοῦσα,2,
250,δικαιολογίαι,2,
251,δικολόγον,2,
252,ἀδικούσῃ,2,
253,δίκηνδίκην,2,
254,δικαιολογουμένη,2,
255,ἀδικουμένας,2,
256,δικάσαιτο,2,
257,δικαζομένη,2,
258,δικαίαρχοςδικαίαρχος,2,
259,δικαιοδοτῶν,2,
260,δικασθεῖσα,2,
261,δικάζῃς,2,
262,δικότυλος,2,
263,δικοτύλων,2,
264,δικαιοκλῆς,2,
265,ἐκδικοῦντα,2,
266,δικογραφία,2,the composition of lawspeeches
267,ἀδικουσῶν,2,
268,δικάσασι,2,
269,δικάσοντά,2,
270,ἀδικέοντα,2,
271,δικασμός,2,
272,δικαιώσαντες,2,
273,δικάζωμαι,2,
274,δικάζουσα,2,
275,ἀδικοπραγεῖν,2,
276,δικορραφέω,2,to get up a lawsuit
277,δικαιοκράτης,2,
278,ἀδικηθησόμενος,2,
279,καταδικάσασαν,2,
280,δικόρυμβος,2,"two-pointed, two-peaked"
281,δικάσωμεν,2,
282,δικάσῃ,2,
283,ἀδικίη,2,
284,ἀδικουμένῃ,2,
285,δικαιολογουμένου,2,
286,δικαιολογούντων,2,
287,δικαιοῦτε,2,
288,δικασ,2,
289,δικότυλά,2,
290,ἀδικοίμεθα,2,
291,καταδικάσαντα,2,
292,καταδικαζομένων,2,
293,δικαιάρχεια,2,
294,δικαίαρχόν,2,
295,δίκαρπον,2,
296,δικαιοπραγοῦντες,2,
297,ἀδικηθῶσι,2,
298,ἀδικοῦντός,2,
299,καταδικασθεῖσιν,2,
300,ἐκδικηθήτω,2,
301,δικαστὰ,2,
302,δικαιωσυνην,2,
303,ἐκδικοῦσα,2,
304,δικαιωμασι,2,
305,δίκηἀλλʼ,2,
306,ἀδικοδοξίαν,2,
307,δικέντρους,2,
308,δικαιολογούμενοι,2,
309,καταδικαζομένους,2,
310,δικαιολογεῖσθε,2,
311,ἀδικίῃ,2,
312,ἀδικέομεν,2,
313,δικάσοι,2,
314,δικανικώτερος,2,
315,δικομαχοῦντας,2,
316,ἄδικαδίκαια,2,
317,δικαιούμεθα,2,
